,Date,Open,Low,High,Close,Volume
4068,2016-01-04,200.49,198.59,201.03,201.02,222353500.0
4069,2016-01-05,201.4,200.05,201.9,201.36,110845800.0
4070,2016-01-06,198.34,197.6,200.06,198.82,152112600.0
4071,2016-01-07,195.33,193.59,197.44,194.05,213436100.0
4072,2016-01-08,195.19,191.58,195.85,191.92,209817200.0
4073,2016-01-11,193.01,189.82,193.41,192.11,187941300.0
4074,2016-01-12,193.82,191.14,194.55,193.66,172330500.0
4075,2016-01-13,194.45,188.38,194.86,188.83,221168900.0
4076,2016-01-14,189.55,187.66,193.26,191.93,240795600.0
4077,2016-01-15,186.77,185.52,188.76,187.81,314240200.0
4078,2016-01-19,189.96,186.2,190.11,188.06,195244400.0
4079,2016-01-20,185.03,181.02,187.5,185.65,286547800.0
4080,2016-01-21,186.21,184.64,188.87,186.69,195772900.0
4081,2016-01-22,189.78,188.88,190.76,190.52,168319600.0
4082,2016-01-25,189.92,187.41,190.15,187.64,130371700.0
4083,2016-01-26,188.42,188.02,190.53,190.2,141036800.0
4084,2016-01-27,189.58,187.06,191.56,188.13,185681700.0
4085,2016-01-28,189.96,187.16,190.2,189.11,143798800.0
4086,2016-01-29,190.02,189.88,193.88,193.72,210529300.0
4087,2016-02-01,192.53,191.84,194.58,193.65,136061600.0
4088,2016-02-02,191.96,189.54,191.97,190.16,182564900.0
4089,2016-02-03,191.41,187.1,191.78,191.3,205054900.0
4090,2016-02-04,190.71,189.96,192.75,191.6,139531800.0
4091,2016-02-05,190.99,187.2,191.67,187.95,180788300.0
4092,2016-02-08,185.77,182.8,186.12,185.42,191526700.0
4093,2016-02-09,183.36,183.2,186.94,185.43,184513100.0
4094,2016-02-10,186.41,185.12,188.34,185.27,148214100.0
4095,2016-02-11,182.34,181.09,184.1,182.86,219058900.0
4096,2016-02-12,184.96,183.96,186.65,186.63,127632400.0
4097,2016-02-16,188.77,187.63,189.81,189.78,120250700.0
4098,2016-02-17,191.16,191.01,193.32,192.88,136009500.0
4099,2016-02-18,193.2,191.72,193.27,192.09,102343000.0
4100,2016-02-19,191.17,190.45,192.18,192.0,114793000.0
4101,2016-02-22,193.87,193.79,194.95,194.78,103640300.0
4102,2016-02-23,194.0,192.18,194.32,192.32,111455300.0
4103,2016-02-24,190.63,189.32,193.53,193.2,150812200.0
4104,2016-02-25,193.73,192.83,195.55,195.54,110728300.0
4105,2016-02-26,196.57,194.9,196.68,195.09,129833700.0
4106,2016-02-29,195.11,193.33,196.23,193.56,125918100.0
4107,2016-03-01,195.01,194.45,198.21,198.11,141799700.0
4108,2016-03-02,197.74,197.25,199.06,199.0,102415000.0
4109,2016-03-03,198.79,198.11,199.8,199.78,95172200.0
4110,2016-03-04,200.01,199.03,201.35,200.43,129293600.0
4111,2016-03-07,199.34,199.25,201.07,200.59,100219000.0
4112,2016-03-08,199.32,198.21,199.92,198.4,123974900.0
4113,2016-03-09,199.36,198.43,199.79,199.38,94801200.0
4114,2016-03-10,199.96,197.38,201.07,199.54,156838700.0
4115,2016-03-11,201.26,199.52,202.81,202.76,137964500.0
4116,2016-03-14,202.16,201.77,203.04,202.5,73612000.0
4117,2016-03-15,201.36,201.05,202.53,202.17,93169100.0
4118,2016-03-16,201.6,201.55,203.82,203.34,129303200.0
4119,2016-03-17,203.24,202.77,205.23,204.63,134278500.0
4120,2016-03-18,204.17,203.8,204.78,204.38,138372400.0
4121,2016-03-21,204.07,203.8,204.94,204.67,72926700.0
